city,state,station,latitude,longitude,timestamp,pm25,pm10,co,no2,so2,o3,aqi,aqi_category,dominant_pollutant,risk_level,temperature,humidity,wind_speed,wind_direction,pressure,rainfall,weather,status
Warangal,Telangana,"Kakatiya University, Warangal - TSPCB",17.9689,79.5941,2026-08-25 14:18:43,67.9,107.1,1.45,42.8,12.5,28.3,125,Moderate,PM25,Moderate,28.6,74.9,14.5,259,1008.4,1.2,Passing Showers,RECENT
Chennai,Tamil Nadu,"Alandur, Chennai - TNPCB",13.0827,80.2707,2026-08-25 14:18:43,65.5,101.9,1.77,28.8,19.8,37.0,116,Moderate,PM25,Moderate,33.2,68.7,11.5,207,1010.4,4.5,Partly Cloudy,RECENT
Coimbatore,Tamil Nadu,"SIDCO Industrial Estate, Coimbatore - TNPCB",11.0168,76.9558,2026-08-25 14:18:43,48.8,73.2,0.65,40.0,23.4,54.8,81,Satisfactory,PM25,Low-Moderate,29.8,65.6,16.8,343,1008.6,12.0,Partly Cloudy,RECENT
Madurai,Tamil Nadu,"Koodal Nagar, Madurai - TNPCB",9.9252,78.1198,2026-08-25 14:18:43,93.0,156.7,1.06,49.9,13.9,49.8,208,Poor,PM25,High,28.5,63.4,13.6,303,1015.2,12.0,Passing Showers,RECENT
Tiruchirappalli,Tamil Nadu,"Central Bus Stand, Trichy - TNPCB",10.7905,78.7047,2026-08-25 14:18:43,40.8,63.1,1.22,54.7,10.8,50.7,126,Moderate,O3,Moderate,31.9,73.9,15.0,105,1013.9,0.0,Passing Showers,RECENT
Salem,Tamil Nadu,"Suramangalam, Salem - TNPCB",11.6643,78.146,2026-08-25 14:18:43,50.4,77.8,1.35,22.9,8.1,26.8,84,Satisfactory,PM25,Low-Moderate,26.6,67.9,8.5,121,1009.1,0.0,Passing Showers,RECENT
Kolkata,West Bengal,"Victoria Memorial, Kolkata - WBPCB",22.5726,88.3639,2026-08-25 14:18:43,92.3,151.0,2.37,39.8,16.0,53.6,205,Poor,PM25,High,32.2,70.0,6.4,129,1006.4,0.0,Light Drizzle,RECENT
Howrah,West Bengal,"Belur Math, Howrah - WBPCB",22.5958,88.2636,2026-08-25 14:18:43,125.4,180.0,2.15,68.4,23.9,27.8,304,Very Poor,PM25,Very High,29.5,79.0,7.4,351,1010.7,12.0,Cloudy,RECENT
Siliguri,West Bengal,"Sevoke Road, Siliguri - WBPCB",26.7271,88.3953,2026-08-25 14:18:43,58.5,87.7,1.2,44.5,31.3,27.4,98,Satisfactory,PM25,Low-Moderate,27.5,73.6,12.9,62,1006.7,0.0,Partly Cloudy,RECENT
Durgapur,West Bengal,"City Centre, Durgapur - WBPCB",23.5204,87.3119,2026-08-25 14:18:43,75.4,101.5,1.82,33.2,36.3,40.7,150,Moderate,PM25,Moderate,30.9,73.7,13.3,89,1008.9,4.5,Light Drizzle,RECENT
Asansol,West Bengal,"Court More, Asansol - WBPCB",23.6739,86.9524,2026-08-25 14:18:43,65.2,95.9,1.3,29.1,14.4,59.2,115,Moderate,PM25,Moderate,28.1,65.3,13.6,170,1006.9,12.0,Partly Cloudy,RECENT
Ahmedabad,Gujarat,"Maninagar, Ahmedabad - GPCB",23.0225,72.5714,2026-08-25 14:18:43,110.2,145.9,1.22,67.7,35.1,20.6,266,Poor,PM25,High,32.6,75.0,11.4,58,1005.8,0.0,Partly Cloudy,RECENT
Surat,Gujarat,"Varachha, Surat - GPCB",21.1702,72.8311,2026-08-25 14:18:43,57.3,91.2,1.42,67.3,27.0,45.7,95,Satisfactory,PM25,Low-Moderate,29.7,75.9,15.4,295,1012.2,0.0,Light Drizzle,RECENT
Vadodara,Gujarat,"Alkapuri, Vadodara - GPCB",22.3072,73.1812,2026-08-25 14:18:43,71.6,95.6,0.95,29.5,12.5,47.3,137,Moderate,PM25,Moderate,27.4,71.4,14.4,122,1007.9,1.2,Moderate Rain,RECENT
Rajkot,Gujarat,"Kasturba Road, Rajkot - GPCB",22.3039,70.8022,2026-08-25 14:18:43,113.9,167.9,1.47,67.1,13.0,58.7,279,Poor,PM25,High,30.3,73.5,11.7,356,1009.5,0.0,Light Drizzle,RECENT
Jaipur,Rajasthan,"Adarsh Nagar, Jaipur - RSPCB",26.9124,75.7873,2026-08-25 14:18:43,128.8,217.6,1.82,87.0,31.9,59.0,307,Very Poor,PM25,Very High,33.9,60.5,6.7,181,1014.1,12.0,Haze,RECENT
Jodhpur,Rajasthan,"Collectorate, Jodhpur - RSPCB",26.2389,73.0243,2026-08-25 14:18:43,135.2,196.0,3.4,38.2,43.8,42.7,312,Very Poor,PM25,Very High,35.7,70.6,7.6,227,1009.9,0.0,Mist,RECENT
Kota,Rajasthan,"Shrinath Puram, Kota - RSPCB",25.2138,75.8648,2026-08-25 14:18:43,176.3,295.7,3.23,47.8,43.4,30.7,343,Very Poor,PM25,Very High,35.4,77.4,12.0,158,1014.8,0.0,Mist,RECENT
Udaipur,Rajasthan,"Chetak Circle, Udaipur - RSPCB",24.5854,73.7125,2026-08-25 14:18:43,190.3,358.6,3.45,76.3,40.1,66.9,354,Very Poor,PM25,Very High,31.4,60.1,6.9,254,1005.9,4.5,Partly Cloudy,RECENT
Alwar,Rajasthan,"Moti Doongri, Alwar - RSPCB",27.553,76.6346,2026-08-25 14:18:43,126.5,213.8,1.82,86.8,41.4,70.4,305,Very Poor,PM25,Very High,32.7,63.1,9.5,279,1011.1,0.0,Partly Cloudy,RECENT
Bhiwadi,Rajasthan,"RIICO Ind. Area, Bhiwadi - RSPCB",28.2104,76.8606,2026-08-25 14:18:43,128.6,201.2,2.25,61.1,22.6,53.6,307,Very Poor,PM25,Very High,33.9,72.6,10.5,245,1007.6,0.0,Haze,RECENT
Lucknow,Uttar Pradesh,"Lalbagh, Lucknow - UPPCB",26.8467,80.9462,2026-08-25 14:18:43,145.6,224.7,3.7,87.1,21.7,25.6,320,Very Poor,PM25,Very High,35.8,56.0,11.1,357,1005.8,0.0,Overcast,RECENT
Kanpur,Uttar Pradesh,"Nehru Nagar, Kanpur - UPPCB",26.4499,80.3319,2026-08-25 14:18:43,188.9,271.6,1.97,45.0,21.5,74.8,353,Very Poor,PM25,Very High,33.6,63.8,9.8,101,1015.5,12.0,Partly Cloudy,RECENT
Varanasi,Uttar Pradesh,"Bhelupur, Varanasi - UPPCB",25.3176,82.9739,2026-08-25 14:18:43,156.5,267.6,2.41,51.6,20.6,42.7,328,Very Poor,PM25,Very High,32.7,56.8,11.8,251,1010.9,0.0,Partly Cloudy,RECENT
Agra,Uttar Pradesh,"Sanjay Palace, Agra - UPPCB",27.1767,78.0081,2026-08-25 14:18:43,150.5,256.1,1.4,51.3,19.0,72.0,324,Very Poor,PM25,Very High,31.3,68.4,11.3,335,1014.5,4.5,Mist,RECENT
Prayagraj,Uttar Pradesh,"Civil Lines, Prayagraj - UPPCB",25.4358,81.8463,2026-08-25 14:18:43,117.3,188.3,3.76,81.7,29.4,43.8,291,Poor,PM25,High,34.0,64.0,10.5,301,1010.2,0.0,Haze,RECENT
Meerut,Uttar Pradesh,"Ganga Nagar, Meerut - UPPCB",28.9845,77.7064,2026-08-25 14:18:43,113.1,159.1,2.59,39.5,35.8,62.5,276,Poor,PM25,High,35.3,68.5,9.7,305,1007.7,12.0,Mist,RECENT
Bareilly,Uttar Pradesh,"Civil Lines, Bareilly - UPPCB",28.367,79.4304,2026-08-25 14:18:43,122.7,187.2,3.48,51.5,21.2,62.8,302,Very Poor,PM25,Very High,28.4,61.2,3.7,187,1013.5,0.0,Mist,RECENT
Aligarh,Uttar Pradesh,"University Area, Aligarh - UPPCB",27.8974,78.088,2026-08-25 14:18:43,136.5,246.9,3.26,93.1,17.7,54.5,313,Very Poor,PM25,Very High,31.8,64.7,10.2,289,1014.9,1.2,Mist,RECENT
Moradabad,Uttar Pradesh,"Kanth Road, Moradabad - UPPCB",28.8386,78.7733,2026-08-25 14:18:43,227.4,387.4,1.44,73.2,31.6,61.3,383,Very Poor,PM25,Very High,32.4,65.4,11.2,310,1015.4,1.2,Mist,RECENT
Gorakhpur,Uttar Pradesh,"MMMUT, Gorakhpur - UPPCB",26.7606,83.3732,2026-08-25 14:18:43,157.0,285.9,1.32,81.1,17.0,56.0,329,Very Poor,PM25,Very High,30.8,59.8,8.4,27,1006.4,0.0,Partly Cloudy,RECENT
Patna,Bihar,"Muradpur, Patna - BSPCB",25.5941,85.1376,2026-08-25 14:18:43,113.7,195.7,3.53,45.9,25.4,48.7,278,Poor,PM25,High,33.3,59.0,5.1,295,1008.8,0.0,Partly Cloudy,RECENT
Muzaffarpur,Bihar,"Club Road, Muzaffarpur - BSPCB",26.1209,85.3647,2026-08-25 14:18:43,118.9,171.7,1.74,42.2,28.8,43.2,296,Poor,PM25,High,32.0,70.9,3.8,173,1012.6,12.0,Haze,RECENT
Gaya,Bihar,"Collectorate, Gaya - BSPCB",24.7914,85.0002,2026-08-25 14:18:43,116.2,184.6,1.42,35.2,41.0,54.9,287,Poor,PM25,High,35.9,67.3,11.4,273,1010.8,0.0,Mist,RECENT
Bhagalpur,Bihar,"Mayaganj, Bhagalpur - BSPCB",25.2425,86.9842,2026-08-25 14:18:43,195.9,277.9,3.53,50.1,36.4,50.6,358,Very Poor,PM25,Very High,32.3,57.5,7.3,142,1006.2,4.5,Partly Cloudy,RECENT
Hajipur,Bihar,"Industrial Area, Hajipur - BSPCB",25.6858,85.2146,2026-08-25 14:18:43,119.6,201.2,2.59,85.4,17.7,36.7,299,Poor,PM25,High,30.7,65.9,6.5,179,1006.0,12.0,Haze,RECENT
Bhubaneswar,Odisha,"IRC Village, Bhubaneswar - OSPCB",20.2961,85.8245,2026-08-25 14:18:43,70.2,112.2,0.94,35.1,10.6,32.7,132,Moderate,PM25,Moderate,31.2,71.4,11.6,118,1015.3,4.5,Partly Cloudy,RECENT
Cuttack,Odisha,"Badambadi, Cuttack - OSPCB",20.4625,85.8828,2026-08-25 14:18:43,41.1,56.0,0.82,28.6,11.2,30.0,68,Satisfactory,PM25,Low-Moderate,27.4,77.9,8.8,6,1012.7,12.0,Passing Showers,RECENT
Rourkela,Odisha,"Sector 19, Rourkela - OSPCB",22.2604,84.8536,2026-08-25 14:18:43,58.9,99.4,0.91,50.3,24.3,26.0,99,Satisfactory,PM10,Low-Moderate,31.3,78.6,13.6,100,1013.5,12.0,Sunny,RECENT
Ranchi,Jharkhand,"Doranda, Ranchi - JSPCB",23.3441,85.3096,2026-08-25 14:18:43,137.3,227.3,1.65,34.0,31.1,48.3,314,Very Poor,PM25,Very High,31.6,66.7,11.1,173,1010.9,0.0,Light Drizzle,RECENT
Jamshedpur,Jharkhand,"Bistupur, Jamshedpur - JSPCB",22.8046,86.2029,2026-08-25 14:18:43,86.4,131.9,1.12,49.7,26.3,47.4,188,Moderate,PM25,Moderate,27.5,67.8,6.0,214,1010.2,0.0,Partly Cloudy,RECENT
Dhanbad,Jharkhand,"Bank More, Dhanbad - JSPCB",23.7957,86.4304,2026-08-25 14:18:43,84.7,149.4,1.0,62.4,37.1,49.2,182,Moderate,PM25,Moderate,32.6,68.6,6.7,259,1005.5,4.5,Cloudy,RECENT
Visakhapatnam,Andhra Pradesh,"GVMCOffice, Vizag - APPCB",17.6868,83.2185,2026-08-25 14:18:43,43.4,70.2,0.8,27.1,11.3,48.5,72,Satisfactory,PM25,Low-Moderate,31.3,70.5,11.6,211,1012.5,12.0,Partly Cloudy,RECENT
Vijayawada,Andhra Pradesh,"Benz Circle, Vijayawada - APPCB",16.5062,80.648,2026-08-25 14:18:43,89.0,137.9,1.29,38.9,16.8,32.4,197,Moderate,PM25,Moderate,29.1,70.6,8.7,195,1009.7,0.0,Passing Showers,RECENT
Guntur,Andhra Pradesh,"Collectorate, Guntur - APPCB",16.3067,80.4365,2026-08-25 14:18:43,72.7,104.2,1.34,24.9,23.9,38.7,141,Moderate,PM25,Moderate,33.2,75.8,9.5,254,1013.6,0.0,Partly Cloudy,RECENT
Tirupati,Andhra Pradesh,"Alipiri, Tirupati - APPCB",13.6288,79.4192,2026-08-25 14:18:43,37.0,56.6,1.01,46.7,25.5,48.7,195,Moderate,CO,Moderate,26.9,76.9,9.3,287,1006.6,1.2,Passing Showers,RECENT
Rajamahendravaram,Andhra Pradesh,"Danavaipeta, Rajahmundry - APPCB",17.0005,81.804,2026-08-25 14:18:43,78.3,124.4,1.25,42.4,21.9,28.8,160,Moderate,PM25,Moderate,28.8,63.6,17.1,81,1009.7,0.0,Sunny,RECENT
Kochi,Kerala,"Vyttila, Kochi - KPCB",9.9312,76.2673,2026-08-25 14:18:43,46.3,57.6,0.79,21.7,11.6,15.5,77,Satisfactory,PM25,Low-Moderate,25.0,90.5,10.7,284,1005.3,0.0,Fog,RECENT
Thiruvananthapuram,Kerala,"Palayam, Trivandrum - KPCB",8.5241,76.9366,2026-08-25 14:18:43,40.5,53.1,0.38,11.4,6.0,40.2,67,Satisfactory,PM25,Low-Moderate,25.3,72.7,7.4,302,1006.4,0.0,Pleasant,RECENT
Kozhikode,Kerala,"Mananchira, Kozhikode - KPCB",11.2588,75.7804,2026-08-25 14:18:43,26.0,33.6,0.6,14.5,12.9,37.3,43,Good,PM25,Low,19.6,87.3,11.0,143,1010.9,0.0,Light Rain,RECENT
Kottayam,Kerala,"Baker Junction, Kottayam - KPCB",9.5916,76.5222,2026-08-25 14:18:43,45.5,60.9,0.77,19.6,16.9,16.0,76,Satisfactory,PM25,Low-Moderate,25.3,75.5,10.8,150,1015.1,0.0,Fog,RECENT
Bhopal,Madhya Pradesh,"TT Nagar, Bhopal - MPPCB",23.2599,77.4126,2026-08-25 14:18:43,121.3,174.6,1.62,34.9,17.5,59.0,301,Very Poor,PM25,Very High,29.8,76.1,14.6,358,1010.5,0.0,Light Drizzle,RECENT
Indore,Madhya Pradesh,"Chhoti Gwaltoli, Indore - MPPCB",22.7196,75.8577,2026-08-25 14:18:43,81.3,121.9,1.36,44.2,32.8,38.7,170,Moderate,PM25,Moderate,30.7,72.6,14.4,23,1013.5,0.0,Light Drizzle,RECENT
Gwalior,Madhya Pradesh,"Maharaj Bada, Gwalior - MPPCB",26.2183,78.1828,2026-08-25 14:18:43,99.6,151.4,1.05,43.0,26.6,27.3,230,Poor,PM25,High,32.2,83.9,9.7,323,1010.8,0.0,Moderate Rain,RECENT
Jabalpur,Madhya Pradesh,"Wright Town, Jabalpur - MPPCB",23.1815,79.9864,2026-08-25 14:18:43,57.2,78.8,0.84,57.2,29.1,28.9,95,Satisfactory,PM25,Low-Moderate,28.4,78.4,6.2,122,1011.3,0.0,Moderate Rain,RECENT
Ujjain,Madhya Pradesh,"Mahakal Area, Ujjain - MPPCB",23.1765,75.7885,2026-08-25 14:18:43,110.5,156.8,1.96,29.5,18.3,54.2,268,Poor,PM25,High,32.0,72.9,12.7,146,1008.6,0.0,Partly Cloudy,RECENT
Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",30.7333,76.7794,2026-08-25 14:18:43,35.8,47.7,0.82,27.3,8.5,40.4,59,Satisfactory,PM25,Low-Moderate,29.4,77.9,16.2,93,1009.2,1.2,Passing Showers,RECENT
Amritsar,Punjab,"Golden Temple Area, Amritsar - PPCB",31.634,74.8723,2026-08-25 14:18:43,207.1,325.7,3.44,81.4,25.9,36.0,367,Very Poor,PM25,Very High,35.8,72.9,4.5,322,1013.8,0.0,Partly Cloudy,RECENT
Ludhiana,Punjab,"PAU Campus, Ludhiana - PPCB",30.901,75.8573,2026-08-25 14:18:43,160.4,265.7,2.25,79.5,36.0,35.9,331,Very Poor,PM25,Very High,33.2,64.7,4.6,61,1008.0,0.0,Overcast,RECENT
Jalandhar,Punjab,"Civil Lines, Jalandhar - PPCB",31.326,75.5762,2026-08-25 14:18:43,206.0,343.0,1.37,83.9,29.9,45.3,366,Very Poor,PM25,Very High,32.0,71.6,4.4,94,1007.9,0.0,Overcast,RECENT
Patiala,Punjab,"Model Town, Patiala - PPCB",30.3398,76.3869,2026-08-25 14:18:43,175.7,298.7,3.58,74.9,20.3,45.9,343,Very Poor,PM25,Very High,31.1,66.9,3.9,345,1007.0,4.5,Sunny,RECENT
Bathinda,Punjab,"Civil Hospital, Bathinda - PPCB",30.211,74.9455,2026-08-25 14:18:43,176.4,268.6,2.12,58.4,23.7,61.0,344,Very Poor,PM25,Very High,30.4,68.0,7.5,174,1008.0,1.2,Overcast,RECENT
Karnal,Haryana,"Sector 12, Karnal - HSPCB",29.6857,76.9905,2026-08-25 14:18:43,116.9,212.8,1.6,85.8,43.7,56.2,289,Poor,PM25,High,31.8,62.9,6.5,178,1012.6,0.0,Haze,RECENT
Panipat,Haryana,"Sanjay Colony, Panipat - HSPCB",29.3909,76.9635,2026-08-25 14:18:43,157.1,225.8,3.72,39.7,15.1,25.3,329,Very Poor,PM25,Very High,28.8,62.2,10.4,49,1015.5,0.0,Haze,RECENT
Rohtak,Haryana,"MD University, Rohtak - HSPCB",28.8955,76.6066,2026-08-25 14:18:43,120.0,200.5,3.3,87.4,37.0,57.9,300,Poor,PM25,High,33.5,74.5,5.6,232,1012.6,0.0,Haze,RECENT
Hisar,Haryana,"HAU, Hisar - HSPCB",29.1492,75.7217,2026-08-25 14:18:43,222.4,315.8,1.67,77.3,42.8,53.4,379,Very Poor,PM25,Very High,35.3,55.8,9.4,69,1006.3,0.0,Haze,RECENT
Sonipat,Haryana,"Murthal Road, Sonipat - HSPCB",28.9931,77.0151,2026-08-25 14:18:43,222.5,364.2,2.03,86.7,40.3,66.4,379,Very Poor,PM25,Very High,28.3,68.7,5.5,173,1014.7,0.0,Sunny,RECENT
Dehradun,Uttarakhand,"Clock Tower, Dehradun - UEPPCB",30.3165,78.0322,2026-08-25 14:18:43,26.2,37.2,0.73,11.3,9.1,38.7,44,Good,PM25,Low,20.6,83.8,13.9,315,1009.6,0.0,Pleasant,RECENT
Haridwar,Uttarakhand,"Ranipur More, Haridwar - UEPPCB",29.9457,78.1642,2026-08-25 14:18:43,43.7,52.7,1.05,27.5,11.9,39.0,195,Moderate,CO,Moderate,26.0,77.7,12.7,13,1010.3,1.2,Clear,RECENT
Rishikesh,Uttarakhand,"Triveni Ghat, Rishikesh - UEPPCB",30.0869,78.2676,2026-08-25 14:18:43,47.5,67.9,0.89,18.4,10.5,22.2,79,Satisfactory,PM25,Low-Moderate,18.9,77.8,7.9,257,1011.5,0.0,Fog,RECENT
Shimla,Himachal Pradesh,"The Mall, Shimla - HPPCB",31.1048,77.1734,2026-08-25 14:18:43,45.0,54.7,0.4,12.2,10.1,43.7,75,Satisfactory,PM25,Low-Moderate,24.4,75.7,10.9,316,1015.4,0.0,Light Rain,RECENT
Dharamshala,Himachal Pradesh,"Kotwali Bazaar, Dharamshala - HPPCB",32.219,76.3234,2026-08-25 14:18:43,44.8,67.1,0.62,24.9,5.8,40.1,74,Satisfactory,PM25,Low-Moderate,19.8,88.3,6.2,63,1007.4,0.0,Light Rain,RECENT
Solan,Himachal Pradesh,"Mall Road, Solan - HPPCB",30.9045,77.0967,2026-08-25 14:18:43,46.6,67.5,0.47,26.0,13.2,30.5,77,Satisfactory,PM25,Low-Moderate,22.8,81.6,7.6,272,1012.7,0.0,Light Rain,RECENT
Srinagar,Jammu and Kashmir,"Lal Chowk, Srinagar - JKPCB",34.0837,74.7973,2026-08-25 14:18:43,41.9,53.1,0.77,14.5,12.0,32.4,69,Satisfactory,PM25,Low-Moderate,18.7,89.3,7.7,171,1005.5,0.0,Fog,RECENT
Jammu,Jammu and Kashmir,"Bahu Fort, Jammu - JKPCB",32.7266,74.857,2026-08-25 14:18:43,43.5,62.7,0.37,23.1,12.2,27.3,72,Satisfactory,PM25,Low-Moderate,21.0,75.7,12.2,191,1015.6,4.5,Pleasant,RECENT
Guwahati,Assam,"Pan Bazaar, Guwahati - PCBA",26.1445,91.7362,2026-08-25 14:18:43,88.7,150.4,1.22,22.2,25.7,51.7,196,Moderate,PM25,Moderate,30.6,73.2,13.4,96,1014.7,0.0,Partly Cloudy,RECENT
Silchar,Assam,"Tarapur, Silchar - PCBA",24.8333,92.7789,2026-08-25 14:18:43,87.1,121.8,1.0,25.5,11.2,28.4,190,Moderate,PM25,Moderate,33.4,62.1,15.0,317,1015.6,0.0,Passing Showers,RECENT
Dibrugarh,Assam,"Chowkidingee, Dibrugarh - PCBA",27.4728,94.912,2026-08-25 14:18:43,36.8,59.9,1.49,24.5,14.7,25.6,72,Satisfactory,CO,Low-Moderate,32.5,76.6,13.1,69,1005.9,0.0,Passing Showers,RECENT
Shillong,Meghalaya,"Police Bazar, Shillong - MSPCB",25.5788,91.8933,2026-08-25 14:18:43,47.4,65.8,0.73,15.2,13.2,38.4,79,Satisfactory,PM25,Low-Moderate,18.9,86.7,10.4,302,1009.3,12.0,Fog,RECENT
Imphal,Manipur,"Kangla, Imphal - MPCB",24.817,93.9368,2026-08-25 14:18:43,80.2,129.6,1.74,26.1,23.4,25.8,166,Moderate,PM25,Moderate,32.2,74.2,12.7,223,1005.5,0.0,Sunny,RECENT
Aizawl,Mizoram,"Dawrpui, Aizawl - MPCB",23.7271,92.7176,2026-08-25 14:18:43,47.7,66.9,0.78,18.9,13.4,26.5,79,Satisfactory,PM25,Low-Moderate,18.5,88.1,8.7,277,1012.5,0.0,Fog,RECENT
Kohima,Nagaland,"High School Junction, Kohima - NPCB",25.6751,94.1086,2026-08-25 14:18:43,20.2,27.1,0.98,28.9,6.3,30.8,49,Good,CO,Low,24.6,76.6,13.4,244,1012.2,0.0,Light Rain,RECENT
Agartala,Tripura,"Kunjaban, Agartala - TSPCB",23.8315,91.2868,2026-08-25 14:18:43,87.1,146.8,1.69,21.1,22.6,50.0,190,Moderate,PM25,Moderate,33.7,75.2,12.4,147,1014.8,0.0,Passing Showers,RECENT
Gangtok,Sikkim,"MG Marg, Gangtok - SPCB",27.3389,88.6065,2026-08-25 14:18:43,22.0,26.6,0.99,23.0,9.8,29.2,50,Good,CO,Low,25.7,74.1,13.7,55,1010.0,0.0,Clear,RECENT
Raipur,Chhattisgarh,"AIIMS Campus, Raipur - CECB",21.2514,81.6296,2026-08-25 14:18:43,119.7,193.1,2.27,30.9,12.8,44.7,299,Poor,PM25,High,31.8,74.6,7.2,218,1007.7,0.0,Partly Cloudy,RECENT
Bhilai,Chhattisgarh,"Civic Centre, Bhilai - CECB",21.1938,81.3509,2026-08-25 14:18:43,72.0,111.4,1.23,27.9,27.1,51.9,139,Moderate,PM25,Moderate,28.9,74.1,6.1,244,1009.4,12.0,Moderate Rain,RECENT
Bilaspur,Chhattisgarh,"Link Road, Bilaspur - CECB",22.0797,82.1409,2026-08-25 14:18:43,79.8,131.5,0.86,63.7,32.3,39.2,165,Moderate,PM25,Moderate,27.6,69.8,15.9,6,1010.3,1.2,Cloudy,RECENT
Panaji,Goa,"Patto Plaza, Panaji - GSPCB",15.4909,73.8278,2026-08-25 14:18:43,38.2,52.2,0.71,10.2,9.2,17.6,63,Satisfactory,PM25,Low-Moderate,20.8,70.7,5.8,115,1015.8,0.0,Pleasant,RECENT
